ID,상호명,카테고리,업종,주소,지역권,메인메뉴,가격_원,주차유형,혼밥,가족식사,단체수용
102,진상이네집,주점,포장마차,전북특별자치도 전주시 덕진구 진북동 772-27,진북동권,"오돌뼈, 닭발, 골뱅이",30000,매장 앞 전용주차,비추천,추천,가능
103,만추,주점,포장마차,전북특별자치도 전주시 덕진구 금암동 1553-49 만추,전북대·금암동권,국물닭볶음탕,36000,없음,비추천,비추천,가능
104,꽃님이네,주점,술집,전북특별자치도 전주시 덕진구 금암동 706-8 1층 꽃님이네,전북대·금암동권,"꼬막, 닭발, 국수",12000,없음,비추천,추천,가능
105,주모,주점,술집,전북특별자치도 전주시 덕진구 덕진동1가 1262-1 1층,전북대·덕진공원권,"보쌈, 전",13000,없음,비추천,추천,가능
106,주인테이블 전북대본점,주점,술집,전북특별자치도 전주시 덕진구 덕진동1가 1312-68 1층 주인테이블,전북대·덕진공원권,전골,12000,없음,비추천,추천,가능
107,동네불막창&닭발 본점,주점,술집,전북특별자치도 전주시 덕진구 덕진동1가 1277-1 1층,전북대·덕진공원권,"닭발, 막창",23000,전용 없음,비추천,비추천,가능
108,광장포차타운,주점,술집,전북특별자치도 전주시 덕진구 덕진동1가 1314-200 2층,전북대·덕진공원권,"오돌뼈, 꼼장어, 고갈비",22000,없음,비추천,추천,가능
109,광장포차 시골집,주점,술집,"전북특별자치도 전주시 덕진구 덕진동1가 664-6 117호, 118호",전북대·덕진공원권,"오돌뼈, 꼼장어, 고갈비",18000,주차 가능 표기,비추천,비추천,추천
110,프프프,중식,아시아음식,전북특별자치도 전주시 완산구 고사동 473-9 1층,객사·객리단길권,"우육면, 어향가지, 유린기",18000,없음,가능,가능,미확인
111,프프프ver.2,중식,아시아음식,전북특별자치도 전주시 덕진구 덕진동1가 1312-58 1층 102호,전북대·덕진공원권,"우육면, 어향가지, 유린기",18000,없음,가능,가능,미확인
112,진미반점,중식,중식당,전북특별자치도 전주시 완산구 중앙동2가 44-1,객사·객리단길권,물짜장,10000,매장 앞 일부 가능,추천,추천,가능
113,대보장,중식,중식당,전북특별자치도 전주시 완산구 중앙동4가 16-1,객사·객리단길권,물짜장,10000,없음,추천,가능,제한적
114,미미마라 전북대본점,중식,중식당,전북특별자치도 전주시 덕진구 덕진동1가 1312-59 미미마라 전북대본점,전북대·덕진공원권,마라탕,13000,없음,추천,가능,제한적
